film_id,titulo_pelicula,actor_id,actor_full_name,total_actores_en_pelicula,total_peliculas_del_actor,categoria_reparto,nivel_protagonismo
1,Academy Dinosaur,198,Mary Keitel,10,40,Elenco Grande,Actor Muy Prolífico
1,Academy Dinosaur,1,Penelope Guiness,10,19,Elenco Grande,Actor Promedio
1,Academy Dinosaur,30,Sandra Peck,10,19,Elenco Grande,Actor Promedio
1,Academy Dinosaur,10,Christian Gable,10,22,Elenco Grande,Actor Promedio
1,Academy Dinosaur,40,Johnny Cage,10,29,Elenco Grande,Actor Promedio
1,Academy Dinosaur,53,Mena Temple,10,30,Elenco Grande,Actor Promedio
1,Academy Dinosaur,20,Lucille Tracy,10,30,Elenco Grande,Actor Promedio
1,Academy Dinosaur,162,Oprah Kilmer,10,25,Elenco Grande,Actor Promedio
1,Academy Dinosaur,188,Rock Dukakis,10,30,Elenco Grande,Actor Promedio
1,Academy Dinosaur,108,Warren Nolte,10,34,Elenco Grande,Actor Muy Prolífico
2,Ace Goldfinger,160,Chris Depp,4,20,Elenco Estándar,Actor Promedio
2,Ace Goldfinger,90,Sean Guiness,4,33,Elenco Estándar,Actor Muy Prolífico
2,Ace Goldfinger,19,Bob Fawcett,4,25,Elenco Estándar,Actor Promedio
2,Ace Goldfinger,85,Minnie Zellweger,4,31,Elenco Estándar,Actor Muy Prolífico
3,Adaptation Holes,64,Ray Johansson,5,30,Elenco Estándar,Actor Promedio
3,Adaptation Holes,19,Bob Fawcett,5,25,Elenco Estándar,Actor Promedio
3,Adaptation Holes,2,Nick Wahlberg,5,25,Elenco Estándar,Actor Promedio
3,Adaptation Holes,24,Cameron Streep,5,24,Elenco Estándar,Actor Promedio
3,Adaptation Holes,123,Julianne Dench,5,32,Elenco Estándar,Actor Muy Prolífico
4,Affair Prejudice,162,Oprah Kilmer,5,25,Elenco Estándar,Actor Promedio
4,Affair Prejudice,147,Fay Winslet,5,31,Elenco Estándar,Actor Muy Prolífico
4,Affair Prejudice,88,Kenneth Pesci,5,20,Elenco Estándar,Actor Promedio
4,Affair Prejudice,41,Jodie Degeneres,5,29,Elenco Estándar,Actor Promedio
4,Affair Prejudice,81,Scarlett Damon,5,36,Elenco Estándar,Actor Muy Prolífico
5,African Egg,51,Gary Phoenix,5,25,Elenco Estándar,Actor Promedio
5,African Egg,59,Dustin Tautou,5,27,Elenco Estándar,Actor Promedio
5,African Egg,200,Thora Temple,5,20,Elenco Estándar,Actor Promedio
5,African Egg,103,Matthew Leigh,5,30,Elenco Estándar,Actor Promedio
