film_id,title,description,release_year,language,category,length,rating,is_long_film,inventory_count
1,academy dinosaur,a epic drama of a feminist and a mad scientist who must battle a teacher in the canadian rockies,2006,english,documentary,86,PG,0,8
2,ace goldfinger,a astounding epistle of a database administrator and a explorer who must find a car in ancient china,2006,english,horror,48,G,0,3
3,adaptation holes,a astounding reflection of a lumberjack and a car who must sink a lumberjack in a baloon factory,2006,english,documentary,50,NC-17,0,4
4,affair prejudice,a fanciful documentary of a frisbee and a lumberjack who must chase a monkey in a shark tank,2006,english,horror,117,G,0,7
5,african egg,a fast-paced documentary of a pastry chef and a dentist who must pursue a forensic psychologist in the gulf of mexico,2006,english,family,130,G,1,3
6,agent truman,a intrepid panorama of a robot and a boy who must escape a sumo wrestler in ancient china,2006,english,foreign,169,PG,1,6
7,airplane sierra,a touching saga of a hunter and a butler who must discover a butler in a jet boat,2006,english,comedy,62,PG-13,0,5
8,airport pollock,a epic tale of a moose and a girl who must confront a monkey in ancient india,2006,english,horror,54,R,0,4
9,alabama devil,a thoughtful panorama of a database administrator and a mad scientist who must outgun a mad scientist in a jet boat,2006,english,horror,114,PG-13,0,5
10,aladdin calendar,a action-packed tale of a man and a lumberjack who must reach a feminist in ancient china,2006,english,sports,63,NC-17,0,7
11,alamo videotape,a boring epistle of a butler and a cat who must fight a pastry chef in a mysql convention,2006,english,foreign,126,G,1,7
12,alaska phantom,a fanciful saga of a hunter and a pastry chef who must vanquish a boy in australia,2006,english,music,136,PG,1,7
13,ali forever,a action-packed drama of a dentist and a crocodile who must battle a feminist in the canadian rockies,2006,english,horror,150,PG,1,4
14,alice fantasia,a emotional drama of a a shark and a database administrator who must vanquish a pioneer in soviet georgia,2006,english,classics,94,NC-17,0,0
15,alien center,a brilliant drama of a cat and a mad scientist who must battle a feminist in a mysql convention,2006,english,foreign,46,NC-17,0,6
16,alley evolution,a fast-paced drama of a robot and a composer who must battle a astronaut in new orleans,2006,english,foreign,180,NC-17,1,4
17,alone trip,a fast-paced character study of a composer and a dog who must outgun a boat in an abandoned fun house,2006,english,music,82,R,0,6
18,alter victory,a thoughtful drama of a composer and a feminist who must meet a secret agent in the canadian rockies,2006,english,animation,57,PG-13,0,6
19,amadeus holy,a emotional display of a pioneer and a technical writer who must battle a man in a baloon,2006,english,action,113,PG,0,6
20,amelie hellfighters,a boring drama of a woman and a squirrel who must conquer a student in a baloon,2006,english,music,79,R,0,3
21,american circus,a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank,2006,english,action,129,R,1,6
22,amistad midsummer,a emotional character study of a dentist and a crocodile who must meet a sumo wrestler in california,2006,english,new,85,G,0,7
23,anaconda confessions,a lacklusture display of a dentist and a dentist who must fight a girl in australia,2006,english,animation,92,R,0,5
24,analyze hoosiers,a thoughtful display of a explorer and a pastry chef who must overcome a feminist in the sahara desert,2006,english,horror,181,R,1,4
25,angels life,a thoughtful display of a woman and a astronaut who must battle a robot in berlin,2006,english,new,74,G,0,6
26,annie identity,a amazing panorama of a pastry chef and a boat who must escape a woman in an abandoned amusement park,2006,english,sci-fi,86,G,0,5
27,anonymous human,a amazing reflection of a database administrator and a astronaut who must outrace a database administrator in a shark tank,2006,english,sports,179,NC-17,1,4
28,anthem luke,a touching panorama of a waitress and a woman who must outrace a dog in an abandoned amusement park,2006,english,comedy,91,PG-13,0,3
29,antitrust tomatoes,a fateful yarn of a womanizer and a feminist who must succumb a database administrator in ancient india,2006,english,action,168,NC-17,1,2
30,anything savannah,a epic story of a pastry chef and a woman who must chase a feminist in an abandoned fun house,2006,english,horror,82,R,0,2
31,apache divine,a awe-inspiring reflection of a pastry chef and a teacher who must overcome a sumo wrestler in a u-boat,2006,english,family,92,NC-17,0,8
32,apocalypse flamingos,a astounding story of a dog and a squirrel who must defeat a woman in an abandoned amusement park,2006,english,new,119,R,0,2
33,apollo teen,a action-packed reflection of a crocodile and a explorer who must find a sumo wrestler in an abandoned mine shaft,2006,english,drama,153,PG-13,1,0
34,arabia dogma,a touching epistle of a madman and a mad cow who must defeat a student in nigeria,2006,english,horror,62,NC-17,0,4
35,arachnophobia rollercoaster,a action-packed reflection of a pastry chef and a composer who must discover a mad scientist in the first manned space station,2006,english,horror,147,PG-13,1,7
36,argonauts town,a emotional epistle of a forensic psychologist and a butler who must challenge a waitress in an abandoned mine shaft,2006,english,animation,127,PG-13,1,0
37,arizona bang,a brilliant panorama of a mad scientist and a mad cow who must meet a pioneer in a monastery,2006,english,classics,121,PG,1,7
38,ark ridgemont,a beautiful yarn of a pioneer and a monkey who must pursue a explorer in the sahara desert,2006,english,action,68,NC-17,0,0
39,armageddon lost,a fast-paced tale of a boat and a teacher who must succumb a composer in an abandoned mine shaft,2006,english,sci-fi,99,G,0,7
40,army flintstones,a boring saga of a database administrator and a womanizer who must battle a waitress in nigeria,2006,english,documentary,148,R,1,4
41,arsenic independence,a fanciful documentary of a mad cow and a womanizer who must find a dentist in berlin,2006,english,travel,137,PG,1,0
42,artist coldblooded,a stunning reflection of a robot and a moose who must challenge a woman in california,2006,english,sports,170,NC-17,1,4
43,atlantis cause,a thrilling yarn of a feminist and a hunter who must fight a technical writer in a shark tank,2006,english,family,170,G,1,7
44,attacks hate,a fast-paced panorama of a technical writer and a mad scientist who must find a feminist in an abandoned mine shaft,2006,english,sci-fi,113,PG-13,0,5
45,attraction newton,a astounding panorama of a composer and a frisbee who must reach a husband in ancient japan,2006,english,new,83,PG-13,0,6
46,autumn crow,a beautiful tale of a dentist and a mad cow who must battle a moose in the sahara desert,2006,english,games,108,G,0,3
47,baby hall,a boring character study of a a shark and a girl who must outrace a feminist in an abandoned mine shaft,2006,english,foreign,153,NC-17,1,2
48,backlash undefeated,a stunning character study of a mad scientist and a mad cow who must kill a car in a monastery,2006,english,children,118,PG-13,0,4
49,badman dawn,a emotional panorama of a pioneer and a composer who must escape a mad scientist in a jet boat,2006,english,sci-fi,162,R,1,6
50,baked cleopatra,a stunning drama of a forensic psychologist and a husband who must overcome a waitress in a monastery,2006,english,family,182,G,1,5
51,balloon homeward,a insightful panorama of a forensic psychologist and a mad cow who must build a mad scientist in the first manned space station,2006,english,music,75,NC-17,0,6
52,ballroom mockingbird,a thrilling documentary of a composer and a monkey who must find a feminist in california,2006,english,foreign,173,G,1,2
53,bang kwai,a epic drama of a madman and a cat who must face a a shark in an abandoned amusement park,2006,english,family,87,NC-17,0,2
